NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,CO_ENTIDADE,TP_DEPENDENCIA,REDE,TP_LOCALIZACAO,TP_SITUACAO_FUNCIONAMENTO,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,QT_TABLET_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,TP_REDE_LOCAL,IN_BANDA_LARGA,IN_REGULAR,QT_MAT_BAS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_TUR_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA,QT_MAT_EJA_FUND,QT_MAT_EJA_MED,QT_MAT_ESP,QT_MAT_ESP_CC,QT_MAT_ESP_CE,mat_maior_turno,maior_turno,proxy_maior_turno,TCP_DOWN_MBPS,LAST_MEASURE2,n_disp_est,est_por_disp,nivel_dispos,i_dispos,vel_est,i_conec_simet,ano,Competência,versao,base,data_quest,i_comp,soma_i,i_viab,tam_esc,in_INF,in_FUND_AI,in_FUND_AF,atend_etapas0,apoio_IEC,apoio_CIEB,assessoria_cieb0,Destinação,Vl Devido Custeio,Vl Devido Capital,Vl Devido Total,Vl Ajuste Custeio,Vl Ajuste Capital,Vl Ajuste Total,Vl Final Devido Total,Vl Pago Custeio,Vl Pago Capital,Valor Pago Total,Data Ord. Pgto,in_MED
Paraiba,PB,25,Baia da Traicao,2501401,25103097,3,Municipal,2,1,0,0,0,0,0,0,1,1,1,2,1,1,202,138,64,21,11,68,37,31,70,70,0,0,0,0,64,64,0,4,4,0,138,DIURNO,73,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,EI,EF_AI,,EI_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"2.451,00",0,"2.451,00",0,0,0,"2.451,00","2.451,00",0,"2.451,00",16/12/2021,
Paraiba,PB,25,Baia da Traicao,2501401,25109480,3,Municipal,1,1,0,0,1,1,0,0,1,0,1,2,1,1,131,131,0,30,5,131,87,44,0,0,0,0,0,0,0,0,0,1,1,0,131,DIURNO,131,NA,NA,1,131,1,0,NA,NA,2019,1,1,MEC,5/28/19 14:46,0,1,0,P,EI,,,EI_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"2.451,00",0,"2.451,00",0,0,0,"2.451,00","2.451,00",0,"2.451,00",16/12/2021,
Paraiba,PB,25,Baia da Traicao,2501401,25120778,2,Estadual,2,1,1,3,0,0,0,0,1,1,1,0,1,1,460,348,112,11,19,0,0,0,242,65,177,187,0,0,31,31,0,11,11,0,348,DIURNO,245,NA,NA,3,"81,66666667",1,0,NA,NA,2018,1,1,CIEB,NA,0,1,0,M,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2020,"2.628,00",700,"3.328,00",0,0,0,"3.328,00",0,0,0,,EM
Paraiba,PB,25,Baia da Traicao,2501401,25125281,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,64,55,9,3,5,20,7,13,35,35,0,0,0,0,9,9,0,0,0,0,55,DIURNO,34,NA,NA,0,NA,1,0,NA,NA,2019,1,1,MEC,6/10/19 11:02,0,0,0,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"2.451,00",0,"2.451,00",0,0,0,"2.451,00","2.451,00",0,"2.451,00",11/11/2021,
Paraiba,PB,25,Baia da Traicao,2501401,25126563,3,Municipal,1,1,0,0,1,60,0,0,1,0,1,2,1,1,231,231,0,7,11,83,16,67,148,148,0,0,0,0,0,0,0,6,6,0,231,DIURNO,116,NA,NA,60,"1,933333333",4,1,NA,NA,2019,2,1,MEC,5/24/19 9:39,0,2,0,M,EI,EF_AI,,EI_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"3.328,00",0,"3.328,00",0,0,0,"3.328,00","3.328,00",0,"3.328,00",26/11/2021,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28025903,2,Estadual,1,1,1,20,1,2,0,0,1,1,1,1,1,1,432,249,183,2,13,0,0,0,0,0,0,333,0,0,99,0,99,5,5,0,249,DIURNO,248,"9,6",3/7/22 7:15,22,"11,27272727",1,0,"0,038709677",0,2018,2,1,CIEB,NA,0,1,0,M,,,,_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"3.328,00","0,00","3.328,00",0,0,0,"3.328,00",0,0,0,-,EM
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28025911,3,Municipal,2,1,0,0,1,1,1,38,1,0,1,2,1,1,103,80,23,3,6,31,18,13,49,49,0,0,0,0,23,23,0,1,1,0,80,DIURNO,50,NA,NA,39,"1,282051282",4,1,NA,NA,2019,3,1,MEC,5/22/19 15:26,1,3,1,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28025970,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,72,72,0,26,5,44,24,20,28,28,0,0,0,0,0,0,0,3,3,0,72,DIURNO,53,NA,NA,0,NA,1,0,NA,NA,2019,2,1,MEC,5/22/19 15:05,0,0,0,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026012,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,87,68,19,10,5,19,13,6,30,18,12,0,0,0,38,38,0,1,1,0,68,DIURNO,68,NA,NA,0,NA,1,0,NA,NA,2019,3,1,MEC,5/22/19 15:48,1,1,0,P,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026039,3,Municipal,2,1,0,0,0,0,1,5,1,0,0,9,1,1,255,255,0,14,11,22,14,8,233,95,138,0,0,0,0,0,0,8,8,0,255,DIURNO,141,NA,NA,5,"28,2",1,0,NA,NA,2019,3,1,MEC,5/24/19 13:50,1,2,0,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
